Program,Task,Count,Execution_Time_Sec,Avg_CPU_Usage,Avg_Disk_Write_KB
Program_A,cpu,2,68.578470699,33.3629,5.14203
Program_A,cpu,3,102.787606006,25.019,2.49282
Program_A,cpu,4,137.337486369,19.9968,1.83377
Program_A,cpu,5,171.456020844,16.6543,1.44436
Program_B,cpu,2,68.664502574,99.913,3.52043
Program_B,cpu,3,103.572691882,99.867,3.19942
Program_B,cpu,4,136.845704619,99.8781,1.73409
Program_B,cpu,5,172.266973121,99.8855,1.35767
Program_B,cpu,6,205.897203665,99.8917,1.10947
Program_B,cpu,7,240.539597000,99.9247,0.928833
Program_B,cpu,8,276.865368795,99.8996,1.11783
